"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","ð²ð","invis","disabl","onlin","contract","govern","record","administr","medic","six"
"2","border","question","russian","mexico","maam","sir","obvious","gift","cartel","yes"
"3","hillari","dishonest","crook","win","michigan","rig","shes","unbeliev","swamp","illeg"
"4","lobbyist","democraci","special","interest","influenc","broken","ð²ð","system","washington","chang"
"5","servic","americorp","volunt","healthcar","flint","communiti","mayb","someth","find","realli"
"6","imposs","mayor","commit","lay","unidentifi","winner","execut","handl","order","tremend"
"7","voic","tonight","spoke","moment","heard","journey","behalf","insur","jame","polici"
"8","mitt","romney","four","audienc","medicar","incom","track","ryan","virtual","flag"
"9","lobbyist","lobbi","oil","tension","industri","cheney","administr","contract","allow","premium"
"10","parent","leav","paid","child","famili","sick","children","flexibl","women","workplac"
"11","florida","man","hampshir","thank","measur","continu","guy","deb","usa","appreci"
"12","student","colleg","teacher","educ","school","graduat","program","kim","foster","loan"
"13","haiti","wikileak","email","fbi","lie","clinton","media","corrupt","investig","border"
"14","tax","bush","street","georg","invest","mccain","wall","main","eight","oversea"
"15","afghanistan","surg","strategi","afghan","wound","roy","defeat","command","helicopt","iraq"
"16","embassi","romney","palestinian","statement","audienc","member","yeah","view","israel","gonna"
"17","flag","space","strengthen","scout","havent","bruce","boy","heard","shuttl","number"
"18","nuclear","emiss","weapon","cap--trad","intern","carbon","prolifer","global","warm","materi"
"19","poverti","justic","moral","educ","global","optimist","urban","human","relat","wealthiest"
"20","retir","social","bush","dream","georg","secur","senior","pension","mccain","earn"
"21","iraqi","angri","negoti","iran","departur","escal","iraq","date","presenc","stay"
"22","uniti","yes","barack","clinton","parti","common","obama","hillari","journey","divis"
"23","immigr","land","unemploy","union","email","illeg","recoveri","freedom","legal","seven"
"24","audienc","member","cut","deficit","folk","weve","got","medicar","boo","everybodi"
"25","john","mccain","charact","plane","captor","palin","tonight","pow","stood","arm"
"26","barack","deliv","hampshir","health","everyon","champion","mother","fight","heart","women"
"27","patient","nurs","doctor","qualiti","hospit","diabet","medic","physician","treatment","healthcar"
"28","pakistan","terrorist","intellig","pakistani","aid","democraci","moder","taliban","militari","inform"
"29","climat","union","miami","labor","flood","clean","gore","organ","electr","hurrican"
"30","trump","donald","gonna","e-mail","russia","question","theyr","franc","horribl","unbeliev"
"31","servic","centuri","chicago","lesson","neighborhood","mother","journey","barack","stori","volunt"
"32","oil","energi","effici","fuel","ethanol","gas","technolog","car","renew","gallon"
"33","liber","elizabeth","homeland","path","evil","conserv","usa","preserv","corpor","lobbyist"
"34","donald","trump","vote","stake","everybodi","patrick","excit","lgbt","insult","prove"
"35","imagin","liberti","cuba","constitut","growth","instead","que","bake","christian","bread"
"36","african-american","hillari","inner","clinton","islam","nafta","immigr","radic","massiv","trade"
"37","wealth","joe","fight","spread","obama","yes","tax","spend","oppon","senat"
"38","enough","corpor","game","must","privileg","principl","compromis","challeng","good","valu"
"39","mitt","romney","ann","david","obamacar","advantag","usa","husband","number","torch"
"40","desk","tech","classroom","food","martha","hed","wake","grade","mother","night"
"41","black","polic","disabl","berni","justic","gun","everyon","baltimor","scott","farm"
"42","financi","philosophi","mortgag","street","wall","market","crisi","regul","middle-class","main"
"43","fanni","market","crisi","freddi","obama","project","senat","mac","mae","fine"
"44","veteran","mental","webb","command","access","injuri","bonus","owe","legisl","benefit"
"45","audienc","member","florida","everybodi","romnesia","deficit","auto","boo","matter","romney"
